buyer_id,exporter_id,action,ts
BUY_10031,EXP_8106,right,2024-07-02T09:11:03Z
BUY_10031,EXP_1890,left,2024-07-12T14:51:40Z
BUY_10031,EXP_2137,right,2024-07-23T05:06:22Z
BUY_10031,EXP_6776,left,2024-10-15T11:54:42Z
BUY_10031,EXP_2300,left,2024-12-30T05:13:44Z
BUY_10031,EXP_1400,left,2024-12-30T09:01:56Z
BUY_10031,EXP_8529,left,2025-01-10T13:23:31Z
BUY_10031,EXP_1801,left,2025-01-11T11:00:09Z
BUY_10031,EXP_1911,right,2025-02-01T18:35:15Z
BUY_10031,EXP_3562,left,2025-06-07T07:15:14Z
BUY_10031,EXP_3784,right,2025-06-28T15:22:01Z
BUY_10031,EXP_1830,left,2025-07-01T02:09:31Z
BUY_10031,EXP_2691,left,2026-02-13T21:22:30Z
BUY_10045,EXP_8873,right,2024-03-29T03:27:40Z
BUY_10045,EXP_8029,right,2024-04-04T07:04:55Z
BUY_10045,EXP_6981,left,2024-05-01T13:26:35Z
BUY_10045,EXP_3784,right,2024-07-31T05:35:09Z
BUY_10045,EXP_1911,right,2024-08-15T18:47:39Z
BUY_10045,EXP_4137,right,2024-09-28T00:16:50Z
BUY_10045,EXP_2137,right,2024-12-31T10:41:59Z
BUY_10045,EXP_8106,left,2025-03-09T21:17:14Z
BUY_10045,EXP_1400,right,2025-06-04T04:55:14Z
BUY_10045,EXP_2840,left,2025-06-16T03:51:09Z
BUY_10045,EXP_4572,left,2025-08-08T21:26:08Z
BUY_10045,EXP_8735,left,2025-09-29T02:59:12Z
BUY_10045,EXP_1890,left,2025-11-08T12:49:37Z
BUY_10045,EXP_2300,left,2026-01-25T05:08:59Z
BUY_10085,EXP_3620,right,2024-04-12T01:08:02Z
BUY_10085,EXP_3339,right,2024-09-03T15:52:20Z
BUY_10085,EXP_3058,right,2024-12-20T01:00:27Z
BUY_10085,EXP_3400,left,2025-01-17T12:42:10Z
BUY_10085,EXP_5660,right,2025-01-22T08:05:12Z
BUY_10085,EXP_8797,left,2025-04-09T21:01:49Z
BUY_10085,EXP_3668,left,2025-07-25T13:41:22Z
BUY_10085,EXP_1590,right,2026-02-10T12:09:51Z
BUY_10211,EXP_8414,right,2024-04-16T20:19:50Z
BUY_10211,EXP_8631,left,2024-07-28T14:03:42Z
BUY_10211,EXP_6584,left,2024-09-18T14:41:38Z
BUY_10211,EXP_4661,left,2024-10-07T13:56:07Z
BUY_10211,EXP_7472,left,2024-12-20T00:23:27Z
BUY_10211,EXP_1782,left,2025-03-21T22:50:57Z
BUY_10211,EXP_5200,left,2025-03-31T05:39:32Z
BUY_10211,EXP_2904,right,2025-05-12T20:04:52Z
BUY_10211,EXP_2327,right,2025-05-20T01:55:13Z
BUY_10211,EXP_6555,left,2025-05-20T17:08:44Z
BUY_10211,EXP_8042,left,2025-06-30T20:52:15Z
BUY_10211,EXP_7198,right,2026-01-29T21:28:35Z
BUY_10211,EXP_1052,left,2026-01-30T19:03:24Z
BUY_10211,EXP_3189,right,2026-02-17T21:40:59Z
